,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,
216,All,,,,,,,,,,,,,,,,,,,,,,,,,
217,All,,,,,,,,,,,,,,,,,,,,,,,,,
218,All,,,,,,,,,,,,,,,,,,,,,,,,,
219,All,,,,,,,,,,,,,,,,,,,,,,,,,
220,All,,,,,,,,,,,,,,,,,,,,,,,,,
221,All,,,,,,,,,,,,,,,,,,,,,,,,,
222,All,,,,,,,,,,,,,,,,,,,,,,,,,
223,All,,,,,,,,,,,,,,,,,,,,,,,,,
224,All,,,,,,,,,,,,,,,,,,,,,,,,,
225,All,,,,,,,,,,,,,,,,,,,,,,,,,
226,All,,,,,,,,,,,,,,,,,,,,,,,,,
227,All,,,,,,,,,,,,,,,,,,,,,,,,,
228,All,,,,,,,,,,,,,,,,,,,,,,,,,
229,All,,,,,,,,,,,,,,,,,,,,,,,,,
230,All,,,,,,,,,,,,,,,,,,,,,,,,,
231,All,,,,,,,,,,,,,,,,,,,,,,,,,
232,All,,,,,,,,,,,,,,,,,,,,,,,,,
233,All,,,,,,,,,,,,,,,,,,,,,,,,,
234,All,,,,,,,,,,,,,,,,,,,,,,,,,
235,All,,,,,,,,,,,,,,,,,,,,,,,,,
236,All,,,,,,,,,,,,,,,,,,,,,,,,,
237,All,,,,,,,,,,,,,,,,,,,,,,,,,
238,All,,,,,,,,,,,,,,,,,,,,,,,,,
239,All,,,,,,,,,,,,,,,,,,,,,,,,,
240,All,,,,,,,,,,,,,,,,,,,,,,,,,
241,All,,,,,,,,,,,,,,,,,,,,,,,,,
242,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
243,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
244,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
245,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
246,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
247,Vehicle/bicycle,,,,,,,,,,,,,,,,,,,,,,,,,
248,All,,,,,,,,,,,,,,,,,,,,,,,,,
249,All,,,,,,,,,,,,,,,,,,,,,,,,,
250,All,,,,,,,,,,,,,,,,,,,,,,,,,
251,All,,,,,,,,,,,,,,,,,,,,,,,,,
252,All,,,,,,,,,,,,,,,,,,,,,,,,,
253,All,,,,,,,,,,,,,,,,,,,,,,,,,
254,All,,,,,,,,,,,,,,,,,,,,,,,,,
255,All,,,,,,,,,,,,,,,,,,,,,,,,,
256,All,,,,,,,,,,,,,,,,,,,,,,,,,
257,All,,,,,,,,,,,,,,,,,,,,,,,,,
258,All,,,,,,,,,,,,,,,,,,,,,,,,,
259,All,,,,,,,,,,,,,,,,,,,,,,,,,
260,All,,,,,,,,,,,,,,,,,,,,,,,,,
261,All,,,,,,,,,,,,,,,,,,,,,,,,,
262,All,,,,,,,,,,,,,,,,,,,,,,,,,
263,All,,,,,,,,,,,,,,,,,,,,,,,,,
264,All,,,,,,,,,,,,,,,,,,,,,,,,,
265,All,,,,,,,,,,,,,,,,,,,,,,,,,
266,All,,,,,,,,,,,,,,,,,,,,,,,,,
267,All,,,,,,,,,,,,,,,,,,,,,,,,,
268,All,,,,,,,,,,,,,,,,,,,,,,,,,
269,All,,,,,,,,,,,,,,,,,,,,,,,,,
270,All,,,,,,,,,,,,,,,,,,,,,,,,,
271,All,,,,,,,,,,,,,,,,,,,,,,,,,
272,All,,,,,,,,,,,,,,,,,,,,,,,,,
273,All,,,,,,,,,,,,,,,,,,,,,,,,,
274,All,,,,,,,,,,,,,,,,,,,,,,,,,
275,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
276,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
277,Rear end,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
278,All,,,,,,,,,,,,,,,,,,,,,,,,,
279,Rear end,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,
280,All,,,,,,,,,,,,,,,,,,,,,,,,,
281,All,,,,,,,,,,,,,,,,,,,,,,,,,
282,All,,,,,,,,,,,,,,,,,,,,,,,,,
283,All,,,,,,,,,,,,,,,,,,,,,,,,,
284,All,,,,,,,,,,,,,,,,,,,,,,,,,
285,All,,,,,,,,,,,,,,,,,,,,,,,,,
286,All,,,,,,,,,,,,,,,,,,,,,,,,,
287,All,,,,,,,,,,,,,,,,,,,,,,,,,
288,All,,,,,,,,,,,,,,,,,,,,,,,,,
289,All,,,,,,,,,,,,,,,,,,,,,,,,,
290,All,,,,,,,,,,,,,,,,,,,,,,,,,
291,All,,,,,,,,,,,,,,,,,,,,,,,,,
292,All,,,,,,,,,,,,,,,,,,,,,,,,,
293,All,,,,,,,,,,,,,,,,,,,,,,,,,
294,All,,,,,,,,,,,,,,,,,,,,,,,,,
295,All,,,,,,,,,,,,,,,,,,,,,,,,,
296,All,,,,,,,,,,,,,,,,,,,,,,,,,
297,Multiple vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
298,Multiple vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
299,Multiple vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
300,Multiple vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
301,Multiple vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
302,Multiple vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
303,Multiple vehicle,,,,,,,,,,,,,,,,,,,,,,,,,
304,All,,,,,,,,,,,,,,,,,,,,,,,,,
305,All,,,,,,,,,,,,,,,,,,,,,,,,,
306,All,,,,,,,,,,,,,,,,,,,,,,,,,
307,All,,,,,,,,,,,,,,,,,,,,,,,,,
308,All,,,,,,,,,,,,,,,,,,,,,,,,,
309,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
310,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
311,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
312,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
313,All,,,,,,,,,,,,,,,,,,,,,,,,,
314,All,,,,,,,,,,,,,,,,,,,,,,,,,
315,All,,,,,,,,,,,,,,,,,,,,,,,,,
316,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
317,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
318,All,,,,,,,,,,,,,,,,,,,,,,,,,
319,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
320,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
321,All,,,,,,,,,,,,,,,,,,,,,,,,,
322,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
323,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
324,All,,,,,,,,,,,,,,,,,,,,,,,,,
325,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
326,Left turn,,,,,,,,,,,,,,,,,,,,,,,,,
327,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
328,Angle,Left turn,Right turn,,,,,,,,,,,,,,,,,,,,,,,
329,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
330,Vehicle/pedestrian,,,,,,,,,,,,,,,,,,,,,,,,,
331,All,,,,,,,,,,,,,,,,,,,,,,,,,
332,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
333,All,,,,,,,,,,,,,,,,,,,,,,,,,
334,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
335,all,,,,,,,,,,,,,,,,,,,,,,,,,
336,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
337,all,,,,,,,,,,,,,,,,,,,,,,,,,
338,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
339,All,,,,,,,,,,,,,,,,,,,,,,,,,
340,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
341,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
342,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
343,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
344,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,
345,All,,,,,,,,,,,,,,,,,,,,,,,,,
346,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
347,All,,,,,,,,,,,,,,,,,,,,,,,,,
348,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
349,All,,,,,,,,,,,,,,,,,,,,,,,,,
350,All,,,,,,,,,,,,,,,,,,,,,,,,,
351,All,,,,,,,,,,,,,,,,,,,,,,,,,
352,All,,,,,,,,,,,,,,,,,,,,,,,,,
353,Rear end,,,,,,,,,,,,,,,,,,,,,,,,,
354,Sideswipe,,,,,,,,,,,,,,,,,,,,,,,,,
355,Angle,,,,,,,,,,,,,,,,,,,,,,,,,
356,All,,,,,,,,,,,,,,,,,,,,,,,,,
357,All,,,,,,,,,,,,,,,,,,,,,,,,,
358,All,,,,,,,,,,,,,,,,,,,,,,,,,
